-1.02,0.18,10.60
-0.68,-0.10,9.29
-0.48,0.00,9.68
-0.43,0.17,9.46
-0.45,0.22,10.00
-0.31,-0.05,9.89
-0.44,-0.12,9.98
-0.59,0.02,9.69
-0.07,0.10,9.60
-0.09,0.13,9.75
0.08,0.06,9.76
-0.43,-0.11,10.33
-0.08,0.06,9.57
-0.32,0.07,10.03
-0.33,0.12,9.78
0.28,0.11,9.63
0.32,0.10,9.49
0.06,0.12,9.06
0.24,-0.08,9.90
0.23,-0.16,9.57
0.12,0.19,9.60
1.48,0.08,9.45
1.20,0.05,9.35
1.11,0.11,10.28
1.15,-0.04,9.84
1.08,0.11,9.62
1.06,-0.01,9.41
0.90,-0.01,9.90
0.49,-0.03,10.11
-0.04,-0.01,10.15
-0.48,-0.02,10.09
-1.26,-0.01,9.87
-1.75,-0.01,9.40
-1.50,-0.04,9.14
-4.09,0.04,8.93
-4.93,-0.03,8.24
-5.94,0.02,7.91
-7.17,0.09,6.59
-7.06,0.01,6.09
-7.35,0.02,5.62
-8.21,0.08,4.88
-8.40,-0.02,4.01
-8.67,0.11,4.42
-8.96,-0.02,3.54
-9.22,0.11,2.35
-9.22,0.12,2.23
-9.38,-0.02,1.66
-9.57,-0.04,0.79
-9.76,0.01,0.04
-9.71,-0.09,-0.34
-9.51,0.05,-1.22
-9.57,0.02,-1.97
-9.33,0.01,-3.05
-9.32,0.10,-3.43
-8.98,0.11,-3.78
-8.67,0.09,-4.59
-8.68,0.23,-4.32
-7.96,0.25,-5.94
-6.79,0.49,-7.50
-5.99,0.32,-7.43
-5.43,0.31,-8.29
-4.59,0.11,-8.50
-3.80,0.15,-8.76
-4.01,0.33,-9.64
-2.02,0.34,-9.60
-1.29,0.40,-10.30
-0.50,0.34,-10.28
-2.51,0.38,-10.59
0.89,0.20,-10.11
0.85,0.34,-10.41
2.91,-0.21,-10.23
2.80,0.37,-9.96
3.30,0.37,-9.63
3.71,0.23,-9.19
3.92,0.23,-9.38
3.84,0.26,-9.47
3.74,0.22,-9.05
3.53,0.19,-9.53
3.29,0.15,-9.97
3.04,0.10,-9.34
3.26,0.06,-9.45
3.25,0.05,-9.93
2.94,0.08,-9.90
2.65,0.11,-9.76
2.18,0.15,-9.94
1.81,0.11,-9.94
1.28,0.06,-9.86
1.31,0.05,-10.07
0.07,0.01,-9.93
-0.53,0.08,-9.91
-1.34,-0.01,-9.75
